age,job,marital status ,education,credit default?,Housing Loan?
30,admin.,single,,no,yes
36,blue-collar,divorced,secondary,no,yes
31,unemployed,single,primary,no,yes
36,blue-collar,married,secondary,no,yes
38,management,single,tertiary,no,yes
49,technician,married,secondary,no,yes
57,services,single,primary,no,yes
34,management,single,secondary,no,yes
32,management,single,tertiary,no,yes
33,self-employed,married,tertiary,no,yes
56,unemployed,,primary,no,yes
21,student,single,secondary,no,yes
58,management,married,tertiary,no,yes
33,blue-collar,single,secondary,no,yes
25,student,single,secondary,no,yes
30,services,married,secondary,no,yes
39,blue-collar,married,primary,no,yes
46,management,divorced,tertiary,no,yes
31,admin.,divorced,secondary,no,yes
45,blue-collar,married,primary,no,yes
32,technician,married,secondary,no,yes
51,management,single,tertiary,yes,yes
34,self-employed,single,tertiary,no,yes
24,unemployed,single,secondary,no,yes
32,blue-collar,single,secondary,no,yes
77,retired,divorced,tertiary,no,yes
41,blue-collar,married,primary,no,yes
37,blue-collar,married,primary,no,yes
43,blue-collar,married,unknown,yes,yes
48,admin.,married,unknown,no,yes
27,technician,single,secondary,no,yes
33,management,single,tertiary,no,yes
34,management,single,tertiary,no,yes
52,management,married,tertiary,no,yes
60,management,married,unknown,no,yes
32,management,divorced,tertiary,no,yes
32,management,single,tertiary,no,yes
56,services,divorced,unknown,no,yes
31,management,single,tertiary,no,yes
48,technician,married,secondary,no,yes
46,admin.,married,secondary,no,yes
37,technician,single,unknown,no,yes
41,entrepreneur,married,unknown,no,yes
55,entrepreneur,married,secondary,no,yes
39,technician,married,secondary,no,yes
35,technician,divorced,secondary,no,yes
55,admin.,married,secondary,no,yes
55,technician,married,secondary,no,yes
27,self-employed,single,secondary,no,yes
34,technician,married,secondary,no,yes
34,blue-collar,married,tertiary,no,yes
25,admin.,single,secondary,no,yes
28,management,single,tertiary,no,yes
31,admin.,single,secondary,no,yes
78,housemaid,married,secondary,no,yes
45,blue-collar,divorced,secondary,no,yes
48,technician,married,tertiary,,yes
42,technician,married,secondary,no,yes
37,management,single,tertiary,no,yes
32,admin.,married,secondary,no,yes
42,management,married,tertiary,no,yes
37,admin.,married,secondary,no,yes
37,unknown,married,unknown,no,yes
37,admin.,married,tertiary,no,yes
34,admin.,single,secondary,no,yes
40,admin.,divorced,secondary,no,yes
34,services,married,secondary,no,yes
34,self-employed,married,tertiary,no,yes
34,admin.,married,tertiary,no,yes
37,services,single,secondary,no,yes
36,technician,married,secondary,no,yes
56,retired,married,secondary,no,yes
33,self-employed,married,secondary,no,yes
30,management,single,tertiary,no,yes
36,services,married,secondary,no,yes
23,student,single,secondary,no,yes
57,retired,divorced,secondary,no,yes
27,blue-collar,single,secondary,no,yes
42,technician,married,tertiary,no,yes
75,retired,married,secondary,no,yes
34,technician,single,tertiary,no,yes
48,technician,married,secondary,no,yes
35,technician,single,tertiary,no,yes
39,management,divorced,tertiary,no,yes
29,blue-collar,single,tertiary,no,yes
45,technician,single,tertiary,no,yes
29,technician,married,secondary,no,yes
38,services,single,secondary,no,yes
56,retired,married,secondary,no,yes
36,technician,single,secondary,no,yes
25,blue-collar,single,secondary,no,yes
38,technician,married,tertiary,no,yes
57,self-employed,married,secondary,no,yes
31,management,married,tertiary,yes,yes
42,management,married,tertiary,no,yes
45,technician,married,secondary,no,yes
30,blue-collar,married,secondary,no,yes
49,services,married,secondary,no,yes
53,retired,married,tertiary,no,yes
37,technician,married,secondary,no,yes
49,blue-collar,married,primary,no,yes
41,self-employed,married,primary,no,yes
54,management,married,primary,no,yes
32,services,single,secondary,no,yes
33,technician,married,secondary,no,yes
33,technician,married,secondary,no,yes
36,blue-collar,married,primary,no,yes
52,unknown,married,secondary,no,yes
40,entrepreneur,married,tertiary,no,yes
44,technician,single,secondary,no,yes
45,blue-collar,single,secondary,no,yes
30,student,single,secondary,no,yes
48,technician,divorced,secondary,yes,yes
33,blue-collar,married,secondary,no,yes
57,technician,married,unknown,no,yes
57,housemaid,married,primary,no,yes
51,unemployed,married,tertiary,no,yes
34,admin.,single,secondary,no,yes
50,self-employed,married,tertiary,no,yes
44,management,married,tertiary,no,yes
50,blue-collar,married,secondary,no,yes
36,management,married,tertiary,no,yes
42,management,married,secondary,no,yes
32,unemployed,single,secondary,no,yes
42,management,married,tertiary,no,yes
31,management,married,tertiary,no,yes
32,management,married,tertiary,no,yes
58,retired,married,primary,no,yes
46,blue-collar,married,primary,no,yes
28,unemployed,single,secondary,no,yes
42,technician,divorced,tertiary,no,yes
32,technician,single,secondary,no,yes
39,technician,single,tertiary,no,yes
58,technician,married,tertiary,no,yes
29,student,single,secondary,no,yes
38,admin.,single,secondary,no,yes
56,services,divorced,secondary,no,yes
40,services,married,secondary,no,yes
46,management,married,secondary,no,yes
35,self-employed,married,secondary,no,yes
35,blue-collar,single,tertiary,no,yes
34,technician,married,secondary,no,yes
35,housemaid,married,tertiary,no,yes
38,technician,single,tertiary,no,yes
50,blue-collar,married,primary,no,yes
51,blue-collar,divorced,primary,no,yes
59,self-employed,married,tertiary,no,yes
32,blue-collar,married,secondary,no,yes
37,blue-collar,single,secondary,no,yes
42,admin.,divorced,secondary,no,yes
40,student,married,secondary,no,yes
28,technician,single,tertiary,no,yes
47,admin.,married,secondary,no,yes
27,self-employed,married,secondary,no,yes
41,management,married,tertiary,no,yes
50,blue-collar,married,primary,no,yes
47,blue-collar,married,secondary,no,yes
53,services,married,secondary,no,yes
47,management,married,tertiary,no,yes
49,entrepreneur,divorced,unknown,yes,yes
29,management,married,tertiary,no,yes
45,blue-collar,divorced,primary,no,yes
32,blue-collar,married,secondary,no,yes
70,retired,divorced,primary,no,yes
65,retired,divorced,primary,no,yes
56,blue-collar,married,secondary,no,yes
35,blue-collar,married,secondary,no,yes
49,entrepreneur,married,secondary,no,yes
35,management,married,tertiary,no,yes
38,admin.,married,tertiary,no,yes
55,management,married,unknown,no,yes
43,blue-collar,single,primary,no,yes
25,admin.,single,tertiary,no,yes
30,blue-collar,married,primary,no,yes
46,blue-collar,married,secondary,no,yes
35,entrepreneur,married,secondary,no,yes
26,unemployed,single,secondary,no,yes
45,admin.,married,unknown,no,yes
37,blue-collar,married,secondary,no,yes
38,management,married,tertiary,no,yes
33,technician,married,secondary,no,yes
35,entrepreneur,single,tertiary,no,yes
35,unemployed,married,secondary,no,yes
48,admin.,single,secondary,no,yes
37,admin.,married,secondary,no,yes
29,technician,single,tertiary,no,yes
34,admin.,married,secondary,no,yes
32,services,married,primary,no,yes
30,management,single,tertiary,no,yes
33,blue-collar,married,primary,no,yes
33,management,single,tertiary,no,yes
63,retired,married,primary,no,yes
51,self-employed,divorced,primary,no,yes
56,retired,married,tertiary,no,yes
41,self-employed,single,tertiary,no,yes
37,management,single,unknown,no,yes
57,management,married,tertiary,no,yes
55,management,married,primary,no,yes
47,self-employed,married,tertiary,no,yes
31,blue-collar,married,secondary,no,yes
35,management,married,tertiary,yes,yes
50,management,married,tertiary,no,yes
29,management,married,tertiary,no,yes
30,services,single,secondary,no,yes
46,services,married,secondary,no,yes
27,management,single,unknown,no,yes
48,admin.,divorced,secondary,no,yes
26,student,single,secondary,no,yes
36,management,single,tertiary,no,yes
50,housemaid,married,primary,no,yes
49,blue-collar,married,secondary,no,yes
45,management,married,tertiary,no,yes
23,student,single,secondary,no,yes
38,technician,single,secondary,no,yes
32,management,single,tertiary,no,yes
60,technician,single,primary,no,yes
30,entrepreneur,married,secondary,no,yes
58,housemaid,married,tertiary,no,yes
60,retired,married,primary,no,yes
38,services,married,secondary,no,yes
51,technician,married,secondary,no,yes
42,admin.,married,secondary,no,yes
30,services,single,secondary,no,yes
40,management,married,primary,no,yes
37,management,married,tertiary,no,yes
53,technician,divorced,primary,no,yes
27,services,single,secondary,no,yes
39,blue-collar,married,secondary,no,yes
39,blue-collar,married,primary,no,yes
59,retired,married,tertiary,no,yes
37,services,married,secondary,no,yes
41,blue-collar,married,primary,no,yes
45,blue-collar,married,primary,no,yes
48,management,married,tertiary,no,yes
48,technician,married,secondary,no,yes
32,blue-collar,married,secondary,no,yes
35,services,married,secondary,no,yes
33,management,single,tertiary,no,yes
64,retired,married,unknown,no,yes
35,technician,married,secondary,no,yes
33,blue-collar,married,secondary,no,yes
41,technician,married,secondary,no,yes
34,admin.,married,secondary,no,yes
37,technician,single,tertiary,no,yes
39,blue-collar,married,primary,no,yes
35,technician,divorced,tertiary,no,yes
27,blue-collar,single,secondary,no,yes
50,blue-collar,married,secondary,no,yes
45,self-employed,married,secondary,no,yes
41,technician,married,tertiary,no,yes
39,technician,married,secondary,no,yes
44,management,married,secondary,no,yes
54,admin.,married,secondary,no,yes
49,management,married,tertiary,no,yes
34,blue-collar,single,secondary,no,yes
75,retired,divorced,tertiary,no,yes
42,management,married,tertiary,no,yes
53,blue-collar,married,secondary,no,yes
49,management,divorced,tertiary,no,yes
31,services,single,secondary,no,yes
45,blue-collar,single,primary,no,yes
42,admin.,divorced,secondary,no,yes
37,management,married,tertiary,no,yes
26,technician,single,tertiary,no,yes
37,management,single,tertiary,no,yes
36,services,single,secondary,no,yes
29,blue-collar,single,primary,no,yes
26,technician,married,tertiary,no,yes
32,blue-collar,married,secondary,no,yes
40,management,married,tertiary,no,yes
53,management,married,primary,no,yes
29,management,married,tertiary,no,yes
34,technician,single,tertiary,no,yes
43,blue-collar,married,secondary,no,yes
55,entrepreneur,divorced,tertiary,no,yes
31,self-employed,married,tertiary,no,yes
27,admin.,single,secondary,no,yes
36,management,married,secondary,no,yes
44,management,married,tertiary,no,yes
37,admin.,divorced,tertiary,no,yes
30,admin.,single,secondary,no,yes
42,technician,single,secondary,no,yes
30,management,married,tertiary,no,yes
62,retired,married,secondary,no,yes
24,blue-collar,married,secondary,no,yes
31,technician,married,secondary,no,yes
66,retired,married,tertiary,no,yes
47,admin.,married,secondary,no,yes
39,entrepreneur,married,tertiary,no,yes
35,technician,married,secondary,no,yes
35,admin.,divorced,secondary,no,yes
32,blue-collar,married,secondary,no,yes
44,management,married,tertiary,no,yes
42,blue-collar,married,secondary,no,yes
34,self-employed,single,tertiary,no,yes
40,technician,single,secondary,no,yes
43,management,divorced,tertiary,no,yes
55,unemployed,married,tertiary,no,yes
50,blue-collar,married,secondary,no,yes
45,management,divorced,tertiary,no,yes
35,blue-collar,divorced,secondary,no,yes
32,blue-collar,married,secondary,no,yes
59,housemaid,married,secondary,no,yes
34,self-employed,married,secondary,no,yes
39,management,married,tertiary,no,yes
40,management,single,secondary,no,yes
36,blue-collar,single,primary,no,yes
40,management,married,tertiary,no,yes
55,self-employed,married,secondary,no,yes
38,entrepreneur,married,secondary,yes,yes
61,admin.,married,secondary,no,yes
41,management,married,tertiary,no,yes
57,blue-collar,married,primary,no,yes
48,blue-collar,married,secondary,no,yes
77,retired,married,tertiary,no,yes
35,services,married,secondary,no,yes
54,blue-collar,married,secondary,no,yes
37,management,single,unknown,no,yes
56,management,single,secondary,no,yes
40,technician,married,secondary,no,yes
40,management,married,tertiary,no,yes
54,management,married,tertiary,no,yes
55,housemaid,married,primary,no,yes
55,services,divorced,secondary,yes,yes
52,blue-collar,married,primary,no,yes
55,blue-collar,single,primary,no,yes
33,management,married,tertiary,no,yes
52,blue-collar,married,unknown,no,yes
33,services,divorced,secondary,no,yes
53,admin.,married,secondary,no,yes
46,admin.,married,secondary,no,yes
44,technician,single,secondary,no,yes
48,management,divorced,tertiary,no,yes
50,housemaid,married,secondary,no,yes
42,management,single,tertiary,no,yes
32,management,single,tertiary,no,yes
31,management,married,tertiary,no,yes
19,student,single,primary,no,yes
41,management,married,tertiary,no,yes
31,unemployed,married,secondary,no,yes
42,self-employed,divorced,tertiary,no,yes
41,blue-collar,single,secondary,no,yes
30,blue-collar,single,secondary,no,yes
32,management,married,tertiary,no,yes
52,technician,married,secondary,no,yes
48,management,divorced,tertiary,no,yes
36,management,married,tertiary,no,yes
45,unemployed,divorced,primary,no,yes
36,blue-collar,married,primary,no,yes
34,management,married,tertiary,no,yes
61,retired,married,secondary,no,yes
54,services,married,secondary,no,yes
50,entrepreneur,married,secondary,no,yes
43,admin.,divorced,secondary,no,yes
47,blue-collar,married,primary,no,yes
45,services,married,secondary,no,yes
57,retired,married,primary,no,yes
27,admin.,married,secondary,no,yes
49,unemployed,divorced,secondary,no,yes
43,services,married,primary,no,yes
40,management,married,tertiary,no,yes
32,services,single,secondary,no,yes
58,management,married,primary,no,yes
34,admin.,single,secondary,no,yes
46,technician,divorced,secondary,no,yes
29,blue-collar,married,secondary,no,yes
52,blue-collar,married,primary,no,yes
45,management,married,tertiary,no,yes
26,management,single,secondary,no,yes
40,technician,married,tertiary,no,yes
47,admin.,single,secondary,no,yes
27,technician,single,unknown,no,yes
27,services,married,secondary,no,yes
48,blue-collar,married,secondary,no,yes
49,admin.,married,secondary,no,yes
35,blue-collar,married,primary,no,yes
47,self-employed,married,secondary,yes,yes
54,management,married,tertiary,no,yes
39,management,single,tertiary,no,yes
28,student,single,secondary,no,yes
54,blue-collar,married,primary,no,yes
34,technician,married,secondary,no,yes
63,retired,married,secondary,no,yes
42,self-employed,married,tertiary,no,yes
43,technician,single,secondary,no,yes
37,admin.,married,secondary,no,yes
55,blue-collar,married,primary,no,yes
43,management,single,tertiary,no,yes
47,technician,divorced,secondary,no,yes
34,technician,married,secondary,no,yes
28,student,single,secondary,no,yes
42,admin.,single,secondary,no,yes
55,admin.,married,primary,no,yes
52,management,married,tertiary,no,yes
52,technician,married,secondary,no,yes
26,management,single,tertiary,no,yes
33,unemployed,married,secondary,no,yes
37,management,divorced,tertiary,no,yes
28,technician,single,secondary,no,yes
30,technician,single,secondary,no,yes
33,blue-collar,married,primary,no,yes
55,unknown,married,primary,no,yes
33,blue-collar,married,secondary,no,yes
42,blue-collar,married,secondary,no,yes
37,management,married,tertiary,no,yes
59,blue-collar,married,primary,no,yes
27,blue-collar,single,secondary,no,yes
23,student,married,tertiary,yes,yes
51,management,divorced,tertiary,no,yes
50,blue-collar,married,primary,no,yes
43,technician,married,secondary,no,yes
37,blue-collar,divorced,primary,no,yes
34,management,single,tertiary,no,yes
41,management,married,tertiary,no,yes
26,student,single,secondary,no,yes
49,management,divorced,tertiary,no,yes
29,blue-collar,single,secondary,no,yes
30,management,single,tertiary,no,yes
38,services,divorced,secondary,no,yes
58,management,married,secondary,no,yes
34,student,single,unknown,no,yes
53,services,divorced,unknown,no,yes
50,management,married,tertiary,no,yes
30,blue-collar,single,secondary,no,yes
40,management,married,secondary,no,yes
57,housemaid,single,secondary,no,yes
39,management,single,secondary,no,yes
58,retired,married,primary,no,yes
41,technician,divorced,secondary,no,yes
48,technician,married,secondary,no,yes
58,management,married,tertiary,no,yes
40,self-employed,married,primary,no,yes
52,blue-collar,divorced,primary,no,yes
25,technician,single,secondary,no,yes
54,retired,married,primary,no,yes
34,services,married,secondary,no,yes
48,management,married,tertiary,yes,yes
37,admin.,married,tertiary,no,yes
66,retired,married,tertiary,no,yes
32,management,single,tertiary,no,yes
43,blue-collar,single,secondary,no,yes
41,management,married,tertiary,no,yes
40,technician,divorced,tertiary,no,yes
44,services,single,secondary,no,yes
43,blue-collar,married,primary,no,yes
30,unknown,single,tertiary,no,yes
32,services,married,secondary,no,yes
57,admin.,married,secondary,no,yes
49,unknown,married,secondary,no,yes
31,admin.,single,secondary,no,yes
41,admin.,married,tertiary,no,yes
44,management,married,tertiary,no,yes
54,entrepreneur,married,unknown,no,yes
37,blue-collar,divorced,secondary,no,yes
34,management,married,secondary,no,yes
43,technician,married,secondary,no,yes
44,management,married,tertiary,no,yes
44,services,married,secondary,no,yes
53,admin.,divorced,secondary,no,yes
36,technician,married,secondary,no,yes
58,technician,divorced,secondary,no,yes
26,student,single,secondary,no,yes
34,technician,single,secondary,no,yes
55,blue-collar,married,primary,no,yes
55,blue-collar,married,secondary,no,yes
34,entrepreneur,married,tertiary,no,yes
38,housemaid,divorced,secondary,no,yes
28,blue-collar,single,secondary,no,yes
41,technician,married,secondary,no,yes
30,admin.,married,tertiary,no,yes
39,technician,married,unknown,no,yes
41,admin.,married,secondary,no,yes
36,technician,married,secondary,no,yes
26,technician,single,secondary,no,yes
42,management,married,secondary,yes,yes
46,blue-collar,married,unknown,no,yes
43,unemployed,married,secondary,no,yes
48,blue-collar,single,tertiary,no,yes
41,blue-collar,married,secondary,no,yes
32,self-employed,married,tertiary,no,yes
45,technician,married,tertiary,no,yes
52,admin.,single,unknown,no,yes
38,blue-collar,divorced,secondary,no,yes
36,services,single,secondary,no,yes
58,retired,married,secondary,no,yes
37,management,married,tertiary,no,yes
30,technician,single,secondary,no,yes
47,technician,married,secondary,no,yes
40,technician,married,secondary,no,yes
42,management,divorced,tertiary,no,yes
71,unknown,married,tertiary,no,yes
53,entrepreneur,married,primary,no,yes
33,blue-collar,divorced,secondary,no,yes
30,technician,single,tertiary,no,yes
39,services,divorced,secondary,no,yes
32,blue-collar,married,secondary,no,yes
34,technician,single,secondary,no,yes
39,self-employed,single,tertiary,no,yes
75,retired,married,secondary,no,yes
40,services,married,secondary,no,yes
37,technician,married,unknown,no,yes
69,retired,married,primary,no,yes
52,unemployed,married,primary,no,yes
31,admin.,divorced,secondary,no,yes
28,technician,single,secondary,no,yes
29,management,single,tertiary,no,yes
46,services,married,secondary,no,yes
41,admin.,married,secondary,no,yes
34,admin.,single,secondary,no,yes
28,blue-collar,married,secondary,no,yes
43,management,single,secondary,no,yes
32,technician,married,secondary,no,yes
33,technician,single,tertiary,no,yes
70,retired,married,secondary,no,yes
36,services,married,secondary,no,yes
53,technician,married,secondary,no,yes
30,blue-collar,single,secondary,no,yes
45,services,divorced,secondary,no,yes
31,services,single,secondary,no,yes
28,admin.,married,secondary,no,yes
45,blue-collar,married,primary,no,yes
53,management,married,primary,no,yes
40,technician,married,secondary,no,yes
53,blue-collar,married,primary,no,yes
31,blue-collar,divorced,secondary,no,yes
30,management,married,tertiary,no,yes
53,entrepreneur,married,secondary,no,yes
40,blue-collar,married,primary,no,yes
26,management,single,secondary,no,yes
47,blue-collar,married,secondary,no,yes
51,management,married,tertiary,no,yes
35,management,married,tertiary,no,yes
36,management,single,tertiary,no,yes
57,admin.,married,secondary,no,yes
42,blue-collar,married,primary,no,yes
32,blue-collar,married,secondary,yes,yes
30,management,married,tertiary,no,yes
36,technician,married,secondary,no,yes
43,technician,married,secondary,no,yes
69,retired,single,tertiary,no,yes
31,technician,single,tertiary,no,yes
35,technician,married,secondary,no,yes
30,technician,married,secondary,no,yes
33,management,single,tertiary,no,yes
34,management,married,tertiary,no,yes
48,blue-collar,married,primary,no,yes
31,management,married,tertiary,no,yes
46,management,divorced,tertiary,no,yes
40,services,married,secondary,no,yes
39,entrepreneur,married,secondary,no,yes
50,blue-collar,married,primary,no,yes
84,retired,divorced,primary,no,yes
55,management,married,tertiary,no,yes
40,services,divorced,secondary,no,yes
46,admin.,married,primary,no,yes
43,self-employed,single,tertiary,no,yes
34,blue-collar,married,secondary,no,yes
35,technician,single,secondary,no,yes
57,retired,married,unknown,no,yes
25,student,single,secondary,no,yes
32,self-employed,married,tertiary,no,yes
52,retired,single,secondary,no,yes
31,self-employed,single,tertiary,yes,yes
34,management,married,tertiary,no,yes
42,technician,divorced,secondary,no,yes
47,blue-collar,divorced,primary,no,yes
50,self-employed,divorced,tertiary,no,yes
33,services,single,secondary,no,yes
56,technician,single,tertiary,no,yes
34,admin.,divorced,secondary,no,yes
32,management,single,tertiary,no,yes
34,management,married,tertiary,no,yes
37,technician,married,secondary,no,yes
30,management,married,secondary,no,yes
56,unemployed,divorced,primary,no,yes
31,management,married,tertiary,no,yes
59,unknown,married,unknown,no,yes
36,housemaid,married,secondary,no,yes
51,blue-collar,divorced,secondary,no,yes
54,self-employed,divorced,primary,no,yes
37,management,married,tertiary,no,yes
32,technician,married,tertiary,no,yes
42,self-employed,married,tertiary,no,yes
29,blue-collar,married,secondary,no,yes
52,blue-collar,married,primary,no,yes
40,technician,married,secondary,no,yes
55,entrepreneur,divorced,secondary,no,yes
49,management,married,tertiary,no,yes
33,technician,married,tertiary,no,yes
21,student,single,secondary,no,yes
42,technician,married,secondary,no,yes
39,unknown,single,secondary,no,yes
30,entrepreneur,single,secondary,no,yes
55,retired,married,secondary,no,yes
43,blue-collar,married,primary,no,yes
53,unemployed,married,secondary,no,yes
57,retired,married,secondary,no,yes
39,self-employed,single,unknown,no,yes
56,technician,divorced,tertiary,no,yes
29,services,single,unknown,no,yes
59,management,married,tertiary,no,yes
42,technician,single,unknown,no,yes
46,blue-collar,married,primary,no,yes
31,admin.,married,secondary,no,yes
35,services,divorced,secondary,no,yes
50,self-employed,married,secondary,no,yes
42,blue-collar,married,primary,no,yes
36,services,single,secondary,no,yes
25,admin.,single,tertiary,no,yes
42,management,single,tertiary,no,yes
27,student,single,tertiary,no,yes
32,blue-collar,married,primary,no,yes
57,management,married,tertiary,no,yes
48,blue-collar,married,secondary,no,yes
34,blue-collar,divorced,secondary,no,yes
26,technician,single,secondary,no,yes
50,blue-collar,married,secondary,no,yes
60,technician,single,tertiary,no,yes
47,management,married,tertiary,no,yes
31,management,married,tertiary,no,yes
52,technician,married,tertiary,no,yes
36,services,married,secondary,no,yes
43,blue-collar,married,primary,no,yes
30,technician,single,tertiary,no,yes
32,blue-collar,married,secondary,no,yes
31,management,single,tertiary,no,yes
29,management,single,secondary,no,yes
32,services,single,secondary,no,yes
30,housemaid,single,tertiary,no,yes
48,blue-collar,married,secondary,no,yes
51,blue-collar,married,unknown,no,yes
34,management,married,tertiary,no,yes
35,blue-collar,married,secondary,no,yes
49,management,single,primary,no,yes
37,blue-collar,divorced,secondary,no,yes
37,management,married,tertiary,no,yes
49,blue-collar,married,primary,no,yes
40,student,married,secondary,no,yes
57,technician,married,secondary,no,yes
39,technician,married,secondary,no,yes
51,blue-collar,divorced,secondary,no,yes
27,blue-collar,single,secondary,no,yes
38,blue-collar,single,tertiary,no,yes
36,student,single,unknown,no,yes
37,unemployed,married,secondary,no,yes
53,admin.,married,secondary,no,yes
38,unemployed,married,tertiary,no,yes
26,housemaid,married,secondary,no,yes
33,blue-collar,single,secondary,no,yes
47,technician,married,unknown,no,yes
45,management,divorced,tertiary,no,yes
32,blue-collar,divorced,secondary,no,yes
69,retired,married,unknown,no,yes
65,unknown,married,unknown,no,yes
37,blue-collar,married,secondary,no,yes
45,blue-collar,divorced,primary,no,yes
36,blue-collar,married,secondary,no,yes
62,self-employed,divorced,tertiary,no,yes
39,services,divorced,secondary,no,yes
38,technician,single,secondary,no,yes
31,management,married,tertiary,no,yes
58,blue-collar,divorced,primary,no,yes
44,management,single,tertiary,no,yes
31,blue-collar,married,secondary,no,yes
33,technician,single,secondary,no,yes
36,technician,single,tertiary,no,yes
31,technician,single,secondary,no,yes
45,admin.,married,secondary,no,yes
30,technician,single,tertiary,no,yes
34,blue-collar,married,secondary,no,yes
39,admin.,divorced,secondary,no,yes
41,management,married,tertiary,no,yes
32,services,single,secondary,no,yes
32,management,single,tertiary,no,yes
36,blue-collar,married,primary,no,yes
35,admin.,married,tertiary,no,yes
32,management,single,tertiary,no,yes
33,management,single,tertiary,no,yes
49,entrepreneur,married,primary,no,yes
35,management,married,tertiary,no,yes
42,management,married,secondary,no,yes
34,housemaid,married,primary,no,yes
29,management,single,tertiary,no,yes
32,services,single,secondary,no,yes
50,housemaid,single,unknown,no,yes
59,technician,married,secondary,no,yes
25,student,married,tertiary,no,yes
57,services,married,secondary,no,yes
30,blue-collar,single,secondary,no,yes
26,services,single,secondary,no,yes
50,services,single,primary,no,yes
39,services,married,secondary,no,yes
45,blue-collar,married,primary,no,yes
47,blue-collar,divorced,primary,no,yes
40,management,married,secondary,no,yes
35,blue-collar,married,primary,no,yes
53,management,married,tertiary,no,yes
35,admin.,single,secondary,no,yes
46,technician,divorced,secondary,no,yes
52,management,married,secondary,no,yes
34,admin.,divorced,secondary,no,yes
54,self-employed,married,secondary,no,yes
37,admin.,married,tertiary,no,yes
39,admin.,married,tertiary,no,yes
44,technician,divorced,secondary,no,yes
56,admin.,married,secondary,no,yes
40,services,married,tertiary,no,yes
33,management,married,tertiary,no,yes
33,blue-collar,single,secondary,no,yes
42,services,married,secondary,no,yes
33,admin.,single,secondary,no,yes
59,retired,married,primary,no,yes
49,blue-collar,married,primary,no,yes
33,blue-collar,single,primary,no,yes
46,technician,single,secondary,no,yes
55,entrepreneur,married,primary,no,yes
49,services,married,tertiary,no,yes
51,technician,married,secondary,no,yes
27,admin.,married,secondary,no,yes
44,technician,married,secondary,no,yes
31,technician,single,secondary,no,yes
46,blue-collar,married,primary,no,yes
22,student,single,secondary,no,yes
49,blue-collar,single,primary,no,yes
44,unemployed,married,secondary,no,yes
31,self-employed,single,secondary,no,yes
53,blue-collar,married,primary,no,yes
55,management,married,tertiary,no,yes
35,technician,married,secondary,no,yes
35,blue-collar,married,secondary,no,yes
37,management,single,tertiary,no,yes
50,blue-collar,married,secondary,no,yes
37,management,married,primary,no,yes
